DRIVER_ID,VEHICLE_ID,DISTANCE_MTRS_GPS,AgeRange,Gender,VehicleClass,LocationCode,Accel_Measure,Deccel_Measure,LatPos_Measure,LatNeg_Measure
1,1918,31777499.4326845,45-49,Female,SUV/Crossover,Indiana,10.7447094987221,62.3082380724862,59.6950683302947,45.1589969512831
2,139,9039851.66299878,30-34,Male,Car,North Carolina,46.7795286653762,50.3371091654672,88.355432121664,53.3106092849463
4,875,4450396.01379513,65-69,Did not specify,Van/Minivan,Florida,6.43538235950758,4.27827095408604,24.5551181650485,11.3248348784631
6,2382,1437011.59610756,75-79,Male,SUV/Crossover,New York,9.13005854339532,12.4703238641497,101.989434460367,18.2601170867906
7,453,52703859.3499641,16-19,Male,Car,North Carolina,11.3782938744202,17.0492258267726,26.1202882858888,14.6964569493245
8,2062,20148035.685124,20-24,Female,Car,Florida,45.6143722575675,15.7633232819066,51.71322982961,32.8607716576975
9,1516,11723716.0538131,70-74,Male,Car,Pennsylvania,7.86098874938425,8.13393974762676,24.8385408400683,14.8621818543046
10,2084,5708681.45762411,20-24,Female,SUV/Crossover,New York,22.7583201067364,18.3580045195965,49.1041586539435,30.5499617196338
11,775,9012372.83108162,65-69,Female,SUV/Crossover,Florida,37.1400524893541,3.00031972786847,59.9353810726861,28.5651742138483
12,308,4913448.33642919,60-64,Female,SUV/Crossover,New York,23.0225276129003,11.3647272091969,38.5228432334668,32.1729240191591
13,2200,16392069.0699714,35-39,Male,Van/Minivan,Pennsylvania,0.624692340929593,1.33723204230241,26.5982285786428,5.20251590180427
14,581,31944089.2247572,20-24,Female,Car,New York,17.2301046408746,15.2015603444925,57.3652292011443,29.3863441651195
16,1757,13939730.9541446,20-24,Female,Car,Florida,26.0320662711289,18.0663458160304,34.5487299277328,34.7094216948386
17,1721,7474545.93612209,45-49,Did not specify,SUV/Crossover,Washington,6.63585459556802,5.71539734521503,27.4852816151914,15.9260510293632
18,1533,5371650.08055181,45-49,Did not specify,Car,North Carolina,27.4329112638071,11.9144022861268,25.7648949437493,13.5526326004693
19,1492,25771756.3581791,20-24,Female,Car,Washington,25.1934711385683,10.5169394057996,28.2914361701468,19.605959057565
20,1636,14924336.0490655,20-24,Female,Car,Florida,13.1757955163649,28.5493437429452,40.1384690099838,42.6364025781799
21,2784,13685335.9739429,16-19,Female,Car,Pennsylvania,21.5705336399535,21.1613365248324,46.7536932391187,32.642238440515
22,750,12297440.0987423,35-39,Male,Car,Indiana,18.6054982307577,17.2523710867026,63.9352575566039,38.7853078502719
23,2248,10249288.8605972,40-44,Female,Van/Minivan,North Carolina,22.5576625992887,8.86695664802491,45.7241479261707,42.1024332389493
24,1360,16865765.9225068,35-39,Female,Car,New York,29.3991984875302,28.1754177179621,57.3279627170522,44.8435015329316
26,570,2692357.01532433,70-74,Did not specify,Car,Florida,0.89141224077628,5.05133603106559,26.8017947060068,14.7380157141678
28,2765,28162367.9383891,80-84,Male,Van/Minivan,Washington,3.7951354173705,5.09616237931338,19.6858446424982,12.328508766009
31,3326,22440554.4951148,70-74,Male,Car,Florida,9.88210875307362,2.2744536018979,11.6859857476823,9.75376967835838
32,3097,14471283.0002335,55-59,Male,Car,North Carolina,18.1877446523403,10.8352521333091,31.4885694649636,17.4027416916617
33,496,33619328.4143963,30-34,Male,Car,New York,7.7479239558057,2.38434269155937,33.0381376543017,19.2127573768966
35,1744,17058141.9681547,20-24,Male,Car,New York,8.2447432002006,10.7960175465653,43.474840424266,27.9702209590423
37,1993,11378232.8080577,60-64,Male,Pickup,New York,13.4291504293876,7.31220756364562,90.1651440347994,41.6233353622904
38,1581,11889566.5945542,20-24,Male,Car,Washington,54.0574792940213,17.5750729295474,63.6793607217598,46.3061454445425
39,1344,1098706.80652285,20-24,Female,Car,Pennsylvania,2.03876046521372,2.18438621272899,30.14452973566,17.3294639543166
40,1719,21599751.8881311,60-64,Female,SUV/Crossover,Indiana,12.2594000788271,9.20751317098616,42.6004893373624,27.9855066452017
42,1684,21445695.4185297,20-24,Male,Car,North Carolina,19.1068646645963,14.6005990428016,39.7580951962645,23.4713768976259
43,2951,9211329.54532053,35-39,Male,Van/Minivan,Pennsylvania,1.92806042956332,1.91069051578347,21.156554983857,7.36484344265629
45,1237,56463376.669188,20-24,Male,Pickup,Florida,6.14061751976666,8.5549258385674,26.1323372253291,15.8205203566485
46,552,16957849.4770826,25-29,Male,Car,New York,4.30243233958412,13.0865650329017,35.3912800565352,19.4836025904413
47,1927,20822230.5124951,20-24,Male,Car,New York,29.5683980460469,23.7515380354291,56.9391448859687,54.2497115917597
48,550,19310424.2539388,80-84,Male,Van/Minivan,Indiana,8.66682149491683,6.46283056026303,21.1616272447587,7.19197041834398
49,2373,28666138.6698838,75-79,Male,SUV/Crossover,New York,25.993036892088,7.05501366364597,35.6267027017818,15.1760934742511
50,1506,15569942.0544455,20-24,Male,Car,Washington,4.73733298056431,2.75402437915669,42.9442831361784,21.2203744140245
52,1314,2636117.17904256,35-39,Male,Car,New York,27.0701168245936,6.49440022473433,52.5621550899059,33.6859077077341
54,635,6246314.41283345,20-24,Male,Pickup,Florida,29.1499895723957,18.6221813876377,72.9005890360616,68.6484815940426
55,2463,13419631.3461086,16-19,Male,Car,New York,22.5818423907654,10.8140079453137,44.5436975564411,36.1500243552274
56,253,11407789.8574992,Did not specify,Female,Van/Minivan,Pennsylvania,2.13187657765387,5.66630353534318,30.0005526289581,11.5990916428931
57,1603,35769562.6036747,60-64,Male,Car,Florida,22.6203492887239,32.1703682192016,67.7000171020045,30.5466413471813
58,1178,14471544.475305,16-19,Male,Car,North Carolina,9.08817992609102,10.2159102818833,40.3771692093484,30.5703375859388
59,1049,8145504.79113804,16-19,Male,SUV/Crossover,Indiana,9.03565854875853,27.0480474383489,79.6316516449284,52.4853905267017
60,1457,17033950.4083428,70-74,Male,Car,Washington,2.44218158458565,5.55126660188508,17.2267731774234,10.3229136979217
62,2147,9538595.39875974,16-19,Female,Car,New York,25.0770674297709,31.6356850652494,68.8738721515981,69.5616044356253
63,2543,7502987.90574237,16-19,Female,Car,Washington,24.0544170225665,11.7713104578517,61.3089086346443,41.73270754713
64,566,3901701.58662692,16-19,Male,SUV/Crossover,Florida,18.9045723673005,7.87348784061107,64.5872049425127,66.3915459059861
65,2394,1859740.26660509,16-19,Male,Car,Indiana,65.7296086959207,1.11843575006148,48.178770771879,48.9530724449985
66,3096,6176238.19011848,16-19,Female,SUV/Crossover,Pennsylvania,16.7610116082674,10.3363889207089,84.2713613009176,42.8480884081518
67,2519,27823647.9491797,55-59,Female,SUV/Crossover,Florida,2.66248337153015,8.47049245413372,8.09095918734972,2.45546522601161
69,2602,5115602.03938572,16-19,Female,Car,Washington,17.9216442745435,19.1101651862933,60.5207359009452,53.2332260999529
70,3222,34020655.3119983,25-29,Female,SUV/Crossover,North Carolina,8.97807514872526,8.56891195441458,40.8175559014073,27.2211099847155
74,1285,21318003.182763,65-69,Male,Car,Florida,13.6222889878733,5.25377536722385,19.2438286308028,12.5340069475198
75,928,4253940.0784576,16-19,Male,Car,Washington,11.1708202568828,23.9589646587016,57.5466498081844,49.3848047046706
76,3172,245983.777801514,40-44,Female,SUV/Crossover,Florida,1.30089879446526,7.15494336955894,31.8720204643989,13.6594373418853
77,1720,39700190.8413765,45-49,Female,Car,Indiana,4.21962707104689,8.57225098387463,28.6426834708025,8.45537497140055
79,2016,11958463.1965195,20-24,Female,Car,New York,9.35237230420637,33.4223548153183,64.6638273908861,43.135977551876
80,1204,10658995.6133456,25-29,Female,Car,Florida,44.2368134019714,18.3131701222956,31.2224539789958,18.7935155681263
81,325,8616010.01647414,75-79,Male,Car,New York,6.61094867474507,1.00278434953998,20.7984902126811,5.40389343918768
82,2391,325424.380217552,16-19,Female,Car,Florida,9.83331364988923,12.783307744856,60.9665446293132,55.0665564393797
83,3065,12181440.6584375,50-54,Female,Car,North Carolina,0.788084124791146,2.52186919933167,26.7685907720726,15.0655415189241
86,1882,13637210.0811228,20-24,Female,SUV/Crossover,New York,7.97817144069707,16.6954970001646,45.7571597334097,32.0652096285663
87,1961,6537989.40633023,65-69,Female,Car,Washington,20.9728085315093,5.21261168869484,20.8993914654713,10.1804998239298
88,2049,6629231.0212615,35-39,Did not specify,Car,Florida,16.0501270296284,20.7324197269936,43.5163594502555,29.252261593849
89,2800,39399004.7149138,25-29,Male,Car,Washington,26.3681787780479,27.5946056979571,38.2141632991577,29.4707952244407
90,2309,1085499.63955995,20-24,Female,Car,New York,11.202214682383,15.9189366539127,71.9300100658278,42.7452928669879
91,2440,17806457.4535059,20-24,Female,Car,Pennsylvania,0.413333197758036,1.89594140710751,26.6959332725897,12.0315902564785
92,1596,21131354.8003568,16-19,Male,Car,North Carolina,49.6248352226945,19.1790826394698,128.468809768608,91.5114065458477
93,2721,32249680.8533409,65-69,Female,SUV/Crossover,Florida,43.5799661519567,30.1100654116832,135.214981501073,65.5287104889622
96,189,16180063.1639963,35-39,Female,Van/Minivan,New York,6.69465866122404,7.16931688240388,36.4003523367292,21.0926247036793
97,1196,15318922.9252018,16-19,Female,Car,New York,4.02117043742411,5.54608182408365,47.5020341542983,28.3988634268991
98,2356,31620791.6917739,60-64,Female,Car,Washington,2.62106024440752,10.4235214352886,22.4763505900737,11.4608136169556
99,2133,35026621.0696392,20-24,Male,Car,Washington,36.9410454244917,17.7053903877,46.3830067070965,29.8059010009656
100,3113,10431162.7604629,25-29,Female,SUV/Crossover,Florida,20.216346426814,14.5410443191348,85.7737550976813,29.925714627249
102,2529,4570919.8329858,50-54,Male,Car,New York,0,3.745416814457,10.5361725341267,4.55050641008794
103,3208,10425531.2674354,60-64,Male,SUV/Crossover,New York,3.56049001703597,5.01844929125328,35.7430226279171,14.2880008873297
105,722,28742743.4262442,25-29,Female,Car,New York,9.00122845489306,19.850575553586,72.6110228606215,45.846702260049
106,2222,38069865.4334319,75-79,Male,Car,Indiana,4.5684427307502,14.7097972011276,23.5020531282016,18.0846449589863
107,2409,30674999.5716499,50-54,Male,Car,Washington,14.6881827641951,37.3411578156509,63.0141818090345,39.0154854673933
108,2273,15533171.8239081,16-19,Female,Car,New York,15.0902856581564,4.53223596558964,53.3361768859618,33.672453117074
109,2297,11801546.0146846,16-19,Female,Car,Washington,4.43331745983947,6.27714368166872,19.4415206036997,15.9707888920211
110,52,35768390.4161197,80-84,Male,Car,Washington,6.21778048753827,5.4841718544762,17.964465063276,10.5165481483471
113,2884,13770372.9496909,50-54,Male,Pickup,Florida,0.906293536536358,4.81032723238529,7.98235461026254,6.10005264976395
114,1779,13080540.0782769,65-69,Male,Pickup,New York,14.7149887426786,11.0209516684567,22.775817987421,13.2471594416633
115,1795,15716689.7356668,20-24,Male,Car,Indiana,3.88885961534869,13.6720902183594,49.1502990128364,31.6707912653136
116,1360,9661054.26640677,35-39,Male,Car,New York,83.0716791220857,29.0320282099315,79.4447457632865,61.873164513579
117,2108,42608778.6414693,30-34,Female,SUV/Crossover,Florida,29.5788811644881,8.37010614645727,24.8962780399335,24.6409315984983
117,2853,5023281.27109003,30-34,Female,Car,Florida,20.7354504712809,8.91847332098102,19.6206413061582,16.3717688820866
118,2855,17168483.4184049,30-34,Did not specify,Car,Washington,4.67833984182292,4.94860250200791,26.3645884711495,11.8822376460642
119,214,34232224.4602735,35-39,Female,Car,New York,14.2462258205263,8.19812338884618,34.1572894673249,15.5128686018133
120,959,14107722.4240036,25-29,Male,Car,New York,12.5321433670387,13.2579869647676,51.2286801709627,20.0514293872619
121,1803,394361.860572138,20-24,Male,Car,Florida,38.9489997275999,11.36012492055,75.4636869722248,53.5548746254498
122,3327,23737381.9078261,50-54,Female,Car,Indiana,35.4276644014705,23.9891662109653,50.7688676316354,28.464807223632
123,844,17097817.7805808,40-44,Male,Pickup,Florida,35.4103668532274,19.511261862838,43.5330408565576,18.5567540882532
124,1465,6487743.08117323,35-39,Male,Car,Washington,14.4025432004472,18.6443881156474,42.9363488218812,15.339694984038
125,451,11484349.7357476,16-19,Female,Car,Florida,5.02945324106678,4.31892106573602,57.8317462705491,47.7449757815398
126,1817,24455257.0547484,20-24,Female,Car,North Carolina,15.3226768036462,13.0196954907156,38.8235542924154,18.9603404683889
127,965,8441992.58857954,16-19,Female,SUV/Crossover,Washington,92.925928537447,26.628784335124,91.5044631814796,83.2031055026295
128,2355,6060030.06105743,25-29,Male,Car,Washington,4.06598643104759,7.86794776917001,16.8448009286257,8.76563308511558
129,3048,2523336.11928934,25-29,Female,Car,New York,73.2363788507281,22.7001070377149,29.928632742462,27.3923079337788
131,2902,1876319.35534191,80-84,Male,Car,Washington,13.473186175918,2.98456655795652,19.2717726313764,10.1475262970522
132,1347,13804316.4989175,20-24,Female,Car,North Carolina,16.2731707881093,5.80687931968859,38.2720868535164,28.6171358090043
133,826,274580.100171328,Did not specify,Did not specify,SUV/Crossover,Washington,16.8985297809449,6.99249508177028,24.473732786196,21.5601931687917
134,2820,4979777.09520691,75-79,Did not specify,Car,North Carolina,49.6407761379386,56.5165859072064,66.1877015172514,46.331391062076
136,2560,15275740.4938371,30-34,Female,SUV/Crossover,Washington,7.10145606648433,5.11137250803002,29.7674603848798,20.1103180643804
137,2932,1300715.86696328,75-79,Female,Car,Washington,10.4557808091872,10.5787899951777,13.9000380169195,6.88851441546452
138,2968,3627453.99088697,50-54,Male,Pickup,North Carolina,146.791661958419,70.9257789751017,145.512527884863,72.2049130486576
139,1151,7760133.18718034,25-29,Male,Car,Pennsylvania,4.2267315790643,4.30920439036311,16.2059074202173,13.5255410530057
142,1258,13503938.7408028,60-64,Male,Car,New York,13.6848962030328,8.81520586584972,54.5974040723596,28.9693257284981
143,524,30351543.8466715,25-29,Male,Pickup,Washington,2.08226640197516,3.71645016048731,21.2654751027033,11.8768258320254
144,2154,16324003.9726774,25-29,Female,Car,Washington,16.4861513419407,23.9941132491503,31.6196933585616,27.6108729668531
147,1300,23573765.2055238,50-54,Male,SUV/Crossover,New York,27.6782259563318,12.1966091327926,29.5650692167193,20.8163607180161
148,1850,13349143.762977,45-49,Male,SUV/Crossover,North Carolina,5.81310692115088,2.9005605668423,48.6383255382068,31.1390758374227
149,1125,1670871.57211856,75-79,Female,Car,Florida,16.4704459990939,5.45822919737415,95.279614936619,22.5989840452684
151,3050,8883064.91708199,70-74,Male,Car,New York,9.9785379063871,10.9331633739656,25.1264627787184,9.45619566941015
154,2578,5594345.35133266,60-64,Did not specify,SUV/Crossover,North Carolina,10.7251154928623,1.4300153990483,25.8260781068124,3.374836341754
155,1770,6444529.78273045,45-49,Female,SUV/Crossover,Pennsylvania,25.8948295106327,6.62887773666245,48.8352153858241,24.380366806751
156,2099,15101441.2524339,75-79,Female,Car,Washington,16.9414293459418,22.0376316695178,49.8919266979613,25.6717218919431
157,3237,8319182.07347554,50-54,Female,SUV/Crossover,Pennsylvania,0.711608418677964,3.19262155406871,14.5591235929519,6.59680236774437
158,999,5962188.96913832,25-29,Male,SUV/Crossover,North Carolina,6.92363160806792,18.704539654354,53.1348472247073,32.9543395918892
159,3275,40958649.4792545,20-24,Female,Car,Florida,14.0942147101894,5.72675132071442,19.2311028321126,14.05124454339
160,3320,20462144.2673152,16-19,Female,SUV/Crossover,North Carolina,39.3859015688459,14.012216718557,40.1600139880072,25.8115666227437
162,1170,4609305.38306475,55-59,Male,Car,North Carolina,16.8702208982945,1.77033182266053,34.8512382343367,10.4484289925651
165,1768,14064581.0429152,20-24,Female,Car,New York,17.9059724019907,19.4531212245261,75.0253417986839,42.1370532255231
166,2118,8291580.27780563,20-24,Female,SUV/Crossover,Florida,20.5702645678465,11.1341863561421,36.8373687242204,31.2027371540411
167,2881,24970627.5591895,50-54,Female,Car,Florida,11.9884852429282,7.77873922229547,40.7775093992491,27.2127722216548
168,3182,2975835.53159461,65-69,Male,Car,Washington,10.6995160390932,7.84989618948547,27.0445053651452,20.1086381840244
169,251,11320480.2866651,20-24,Female,SUV/Crossover,Indiana,11.6885500128352,17.3278867179395,45.2136293725029,28.3097529331427
171,3253,7941888.56036678,16-19,Did not specify,Pickup,Washington,28.245170943275,15.5328293846398,66.1807322030374,67.7521468489542
172,568,20294952.0602003,16-19,Female,Car,North Carolina,19.4728225436419,7.5210820674633,57.2753262265418,40.5145081181278
172,3332,9243189.97770946,16-19,Female,Car,North Carolina,30.2752621849007,8.98391142021923,55.2017216167228,50.0433293176374
174,930,9334461.98007316,20-24,Male,SUV/Crossover,North Carolina,26.6024973405113,13.69548671074,30.6820040203062,22.6601169356675
175,256,9203925.85535828,25-29,Female,Car,Washington,8.67455923208239,1.91222748603019,29.1701611050787,15.8541042478139
176,3323,56161854.2857345,65-69,Male,Pickup,Florida,42.12396528013,15.3983519774856,23.3809943902358,20.1959143697309
177,2422,27202949.7370241,20-24,Female,Pickup,Florida,13.2279772406536,10.745893472065,45.1186364664535,19.9978313109037
178,2887,18926162.3496294,25-29,Male,Car,New York,4.71727962334363,4.15086791229699,32.1417511253628,23.5103129615029
181,1415,7002950.05126902,85-89,Male,Car,Washington,38.8636214748785,17.1584830850286,36.9444302909338,15.0565117883274
182,695,18420312.9256693,35-39,Male,Car,New York,4.05639145770838,10.2669265589107,76.8195418671797,33.5890059249642
184,2956,35054474.8789809,20-24,Male,Car,Florida,19.8730690562338,27.0481872363898,171.983748745725,135.313965374622
186,2364,4968481.50323808,60-64,Female,SUV/Crossover,New York,42.7333783695534,14.0727101337565,40.1571385281334,35.1012678393468
187,762,18105860.8615522,80-84,Male,SUV/Crossover,Washington,43.7162312276902,8.07694266062438,35.5067348034888,9.53503405997124
188,1727,18505429.0722832,55-59,Male,Pickup,New York,28.7829046232584,8.9919557849771,47.5536123243981,25.5406128738677
189,1238,18312499.2706635,25-29,Male,Car,New York,12.5378844583938,15.9017071179629,31.7160422187941,27.2950181519319
189,1918,6424137.63532197,25-29,Male,Car,New York,11.2326360511396,13.474182048041,31.431456089885,21.9422447030021
190,2726,9834164.45074325,20-24,Male,Car,Florida,4.65316603451161,10.8356943321144,65.4697207093521,44.4979339314309
191,123,8821753.03071523,20-24,Male,Car,Florida,31.4313945351426,15.6340808362913,48.1718314398954,36.5460242286857
191,2331,24599725.9682471,20-24,Male,SUV/Crossover,Florida,14.0944659484232,15.6164341219031,40.7809420842701,36.3386161762068
192,2397,17931126.3267705,20-24,Female,Car,New York,13.9734668884644,12.5993200807866,20.1392814605774,14.6159251362099
193,1477,3236710.88180867,20-24,Male,Car,Florida,4.15236346117196,8.0575624306075,28.76994683812,23.8760899017388
194,2038,4745020.84635696,75-79,Male,SUV/Crossover,North Carolina,15.3761179059974,3.57427302200816,15.9830699286025,8.36245008922664
195,1937,20222136.3255314,20-24,Male,Car,New York,14.1468732776176,7.25541543376697,41.7047925315002,20.3974492783547
196,3090,31595221.1188147,16-19,Female,Car,New York,16.1340855341076,12.0473915523045,38.5526657787701,29.6601817241897
197,2409,21471074.2905407,16-19,Male,Pickup,Florida,19.8145651327485,9.27014630505421,33.339738399367,28.8015397661049
